group_order,small_group_id,group_structure,class_i,class_j,class_size,union_size,linear_nullity,unordered_sign_solutions,nontrivial_partitions,isomorphic_partitions,new_twists,isomorphism_flags
3,1,"C3",2,3,1,2,1,1,0,0,0,""
4,1,"C4",2,4,1,2,1,1,0,0,0,""
4,2,"C2 x C2",2,3,1,2,1,1,0,0,0,""
4,2,"C2 x C2",2,4,1,2,1,1,0,0,0,""
4,2,"C2 x C2",3,4,1,2,1,1,0,0,0,""
8,3,"D8",2,3,2,4,1,1,0,0,0,""
8,3,"D8",2,5,2,4,1,1,0,0,0,""
8,3,"D8",3,5,2,4,1,1,0,0,0,""
8,4,"Q8",2,3,2,4,1,1,0,0,0,""
8,4,"Q8",2,5,2,4,1,1,0,0,0,""
8,4,"Q8",3,5,2,4,1,1,0,0,0,""
10,1,"D10",3,4,2,4,3,3,0,0,0,""
12,1,"C3 : C4",2,5,3,6,1,1,0,0,0,""
12,3,"A4",2,4,4,8,1,1,0,0,0,""
12,4,"D12",2,5,3,6,1,1,0,0,0,""
16,3,"(C4 x C2) : C2",5,9,1,2,1,1,0,0,0,""
16,4,"C4 : C4",5,9,1,2,1,1,0,0,0,""
16,6,"C8 : C2",4,9,1,2,1,1,0,0,0,""
16,7,"D16",2,3,4,8,1,1,0,0,0,""
16,7,"D16",6,7,2,4,2,2,0,0,0,""
16,8,"QD16",2,3,4,8,1,1,0,0,0,""
16,8,"QD16",6,7,2,4,2,2,0,0,0,""
16,9,"Q16",2,3,4,8,1,1,0,0,0,""
16,9,"Q16",6,7,2,4,2,2,0,0,0,""
16,11,"C2 x D8",4,9,1,2,1,1,0,0,0,""
16,12,"C2 x Q8",4,9,1,2,1,1,0,0,0,""
16,13,"(C4 x C2) : C2",4,9,1,2,1,1,0,0,0,""
18,4,"(C3 x C3) : C2",3,4,2,4,1,1,0,0,0,""
18,4,"(C3 x C3) : C2",3,5,2,4,1,1,0,0,0,""
18,4,"(C3 x C3) : C2",3,6,2,4,1,1,0,0,0,""
18,4,"(C3 x C3) : C2",4,5,2,4,1,1,0,0,0,""
18,4,"(C3 x C3) : C2",4,6,2,4,1,1,0,0,0,""
